# range of table (0.03,5.025)
2.66736 6.50375 -0.0602031 1.78153
2.67236 6.50347 -0.0573462 -3.1774
2.67735 6.50311 -0.0836468 -0.409012
2.68235 6.50275 -0.0580927 3.31922
2.68734 6.50245 -0.0744296 -11.3496
2.69234 6.50191 -0.107412 29.2889
2.69733 6.50207 0.155182 6.42743
2.70233 6.50233 -0.0944274 -38.7336
2.70732 6.50174 -0.0987701 8.8358
2.71232 6.5013 -0.093192 -9.35839
2.71731 6.50067 -0.12872 28.4132
2.72231 6.50072 0.135867 6.78123
2.7273 6.50087 -0.116125 -36.8111
2.7323 6.50023 -0.109195 -0.316248
2.73729 6.49954 -0.149736 25.1319
2.74229 6.49947 0.114047 9.76818
2.74728 6.49955 -0.128654 -43.5466
2.75228 6.49872 -0.141922 33.6923
2.75727 6.49863 0.0880806 7.31135
2.76227 6.49866 -0.121894 -43.0488
2.76726 6.49776 -0.171244 35.5131
2.77226 6.49767 0.106866 -3.44134
2.77725 6.49744 -0.211248 -9.14887
2.78225 6.49712 0.111258 13.7266
2.78724 6.49697 -0.206844 -18.8074
2.79224 6.49654 0.0775881 23.2154
2.79723 6.49648 -0.166528 -48.4545
2.80223 6.49542 -0.187538 37.2553
2.80722 6.49518 0.0628939 -4.09652
2.81222 6.4948 -0.228626 -7.41874
2.81721 6.49436 0.0870299 16.9798
2.82221 6.49417 -0.213978 -29.737
2.8272 6.49346 0.000551777 49.5264
2.8322 6.49377 0.0541665 -36.6732
2.83719 6.49325 -0.243319 -5.54565
2.84219 6.49268 0.0424114 15.7671
2.84718 6.49233 -0.219593 -16.8317
2.85218 6.49174 0.0187887 13.4549
2.85717 6.49131 -0.230683 -22.3812
2.86217 6.49052 -0.0214069 47.3689
2.86716 6.49072 0.0339059 -33.9693
2.87216 6.49014 -0.256535 -12.1956
2.87715 6.48937 -0.0034206 36.0233
2.88215 6.48932 -0.0556297 -5.2059
2.88714 6.48923 0.0170532 -18.6562
2.89214 6.48862 -0.273148 -19.5888
2.89713 6.48768 -0.0388842 48.2003
2.90213 6.48773 -0.0087569 -35.1341
2.90712 6.487 -0.27397 -9.95967
2.91212 6.48612 -0.0289135 38.5129
2.91711 6.48602 -0.0607414 -15.6313
2.92211 6.48564 -0.0681978 10.0165
2.9271 6.48547 -0.0260613 -24.2599
2.9321 6.48467 -0.293566 -14.0574
2.93709 6.48367 -0.0524537 41.709
2.94209 6.48351 -0.0594824 -12.9178
2.94708 6.48313 -0.0800496 -0.207299
2.95208 6.48273 -0.0796437 -0.179507
2.95707 6.48233 -0.0813629 0.854954
2.96207 6.48195 -0.0749688 -3.22544
2.96706 6.48148 -0.109096 2.08984
2.97206 6.48107 -0.0679905 -19.1312
2.97705 6.48014 -0.309923 -14.4701
2.98205 6.479 -0.0941433 38.1444
2.98704 6.47862 -0.101635 -10.2866
2.99204 6.47809 -0.0995109 2.84541
2.99703 6.4776 -0.0998634 -0.958598
3.00203 6.47709 -0.110921 -8.89003
3.00702 6.47637 -0.155657 22.1586
3.01202 6.47624 0.111405 17.4274
3.01701 6.47638 -0.120813 -45.3023
3.02201 6.47559 -0.143157 10.4023
3.027 6.47497 -0.11598 -0.974024
3.032 6.47432 -0.14404 -1.66086
3.03699 6.47366 -0.116608 2.76825
3.04199 6.47303 -0.140594 -4.45575
3.04698 6.47232 -0.138776 0.527594
3.05198 6.47161 -0.153981 -7.19726
3.05697 6.47074 -0.173932 23.1648
3.06197 6.47047 0.0710348 14.2466
3.06696 6.47039 -0.161762 -43.2832
3.07196 6.46945 -0.161933 12.8599
3.07695 6.46872 -0.150692 -8.05501
3.08195 6.46781 -0.195068 19.2619
3.08694 6.46743 0.0524916 15.093
3.09194 6.46724 -0.18745 -40.5218
3.09693 6.46628 -0.14774 9.09497
3.10193 6.4654 -0.213766 9.50842
3.10692 6.46487 0.0255233 21.4567
3.11192 6.46467 -0.172521 -45.1957
3.11691 6.46357 -0.209728 25.8247
3.12191 6.46305 0.00101609 15.4281
3.1269 6.46277 -0.167377 -41.7977
3.1319 6.46163 -0.235854 23.3306
3.13689 6.46106 0.0111577 15.6409
3.14189 6.46069 -0.206506 -24.1824
3.14688 6.45999 -0.0187037 24.9417
3.15188 6.45963 -0.189637 -42.9262
3.15687 6.45843 -0.235216 26.4346
3.16187 6.45784 -0.00335914 9.18748
3.16686 6.45731 -0.254923 -23.3124
3.17186 6.45649 -0.00892341 28.8064
3.17685 6.45606 -0.228833 -27.3525
3.18185 6.45527 -0.0279982 21.7389
3.18684 6.45472 -0.251815 -24.3877
3.19184 6.45387 -0.0280267 25.166
3.19683 6.45332 -0.252636 -25.2124
3.20183 6.45247 -0.0245607 24.0855
3.20682 6.45189 -0.275064 -27.9869
3.21182 6.45096 -0.0251199 29.1662
3.21681 6.45039 -0.274989 -29.5428
3.22181 6.44947 -0.0241716 29.5211
3.2268 6.44888 -0.286453 -37.1798
3.2318 6.44777 -0.0667971 51.7529
3.23679 6.44762 -0.0687556 -32.9015
3.24179 6.44677 -0.261693 -11.2399
3.24678 6.44577 -0.0900337 38.2429
3.25178 6.44551 -0.0652418 -26.3967
3.25677 6.44465 -0.28376 -16.3923
3.26177 6.44355 -0.0921966 44.2705
3.26676 6.44333 -0.0610726 -29.1774
3.27176 6.44242 -0.305102 -19.3757
3.27675 6.44123 -0.104891 42.4425
3.28175 6.44084 -0.102925 -9.88715
3.28674 6.44035 -0.0908398 -11.4496
3.29174 6.43947 -0.279074 -18.384
3.29673 6.43832 -0.123257 33.5856
3.30173 6.4378 -0.127469 -6.04734
3.30672 6.43725 -0.0869023 -9.42057
3.31172 6.43634 -0.301575 -22.315
3.31671 6.43512 -0.122975 38.3459
3.32171 6.43458 -0.141962 -12.9396
3.3267 6.43389 -0.115767 5.88847
3.3317 6.43326 -0.147879 -3.03034
3.33669 6.43262 -0.106797 -9.62957
3.34169 6.43162 -0.319766 -23.3477
3.34668 6.43028 -0.148581 40.4518
3.35168 6.42969 -0.137539 -10.9467
3.35667 6.42896 -0.141455 3.25032
3.36167 6.42827 -0.136396 -1.90987
3.36666 6.42754 -0.159457 -3.70309
