# range of table (0,6.26256)
3.26906 -0.127117 -0.991901 0.124618
3.27532 -0.133326 -0.991096 0.132382
3.28158 -0.13953 -0.990243 0.14041
3.28784 -0.145729 -0.989337 0.148994
3.29411 -0.151922 -0.988377 0.157578
3.30037 -0.158108 -0.98737 0.161747
3.30663 -0.164288 -0.986356 0.162117
3.31289 -0.170462 -0.98534 0.162487
3.31916 -0.17663 -0.984302 0.17098
3.32542 -0.182791 -0.983196 0.18215
3.33168 -0.188944 -0.98202 0.19332
3.33794 -0.195091 -0.980794 0.198041
3.34421 -0.201229 -0.97954 0.202539
3.35047 -0.207359 -0.978257 0.207351
3.35673 -0.213482 -0.976939 0.213579
3.36299 -0.219596 -0.975582 0.219807
3.36926 -0.225701 -0.974186 0.225938
3.37552 -0.231797 -0.972753 0.231918
3.38178 -0.237885 -0.971281 0.237899
3.38804 -0.243963 -0.969774 0.243428
3.39431 -0.250031 -0.968233 0.248669
3.40057 -0.25609 -0.966659 0.25391
3.40683 -0.262139 -0.965046 0.261795
3.4131 -0.268177 -0.96338 0.270241
3.41936 -0.274205 -0.961661 0.278493
3.42562 -0.280222 -0.959906 0.281935
3.43188 -0.286228 -0.95813 0.285377
3.43815 -0.292222 -0.956331 0.289493
3.44441 -0.298206 -0.954499 0.29559
3.45067 -0.304178 -0.952629 0.301687
3.45693 -0.310138 -0.950719 0.308469
3.4632 -0.316085 -0.948764 0.31603
3.46946 -0.322021 -0.946761 0.32359
3.47572 -0.327944 -0.944713 0.330175
3.48198 -0.333853 -0.942626 0.336305
3.48825 -0.33975 -0.940501 0.342435
3.49451 -0.345633 -0.938344 0.346036
3.50077 -0.351503 -0.936167 0.349348
3.50703 -0.357359 -0.933968 0.353286
3.5133 -0.363201 -0.931728 0.362224
3.51956 -0.369029 -0.929431 0.371163
3.52582 -0.374842 -0.927081 0.378298
3.53208 -0.38064 -0.924701 0.381703
3.53835 -0.386424 -0.9223 0.385107
3.54461 -0.392192 -0.919875 0.389783
3.55087 -0.397945 -0.917416 0.395539
3.55713 -0.403683 -0.914921 0.401295
3.5634 -0.409405 -0.912384 0.409471
3.56966 -0.415111 -0.909792 0.418434
3.57592 -0.4208 -0.907143 0.427397
3.58218 -0.426473 -0.904463 0.428508
3.58845 -0.432128 -0.901776 0.429371
3.59471 -0.437767 -0.899084 0.431697
3.60097 -0.443389 -0.896353 0.440518
3.60723 -0.448994 -0.893566 0.449339
3.6135 -0.454581 -0.890726 0.457165
3.61976 -0.460151 -0.887843 0.463488
3.62602 -0.465702 -0.884921 0.469811
3.63228 -0.471234 -0.881965 0.473042
3.63855 -0.476748 -0.878998 0.474321
3.64481 -0.482244 -0.876024 0.475599
3.65107 -0.487721 -0.873023 0.483926
3.65734 -0.493178 -0.869962 0.493725
3.6636 -0.498617 -0.866839 0.503197
3.66986 -0.504036 -0.863682 0.505195
3.67612 -0.509435 -0.860511 0.507193
3.68239 -0.514814 -0.857327 0.511376
3.68865 -0.520173 -0.854092 0.521899
3.69491 -0.525511 -0.85079 0.532422
3.70117 -0.530829 -0.847431 0.537228
3.70744 -0.536125 -0.844072 0.535608
3.7137 -0.541401 -0.840723 0.533987
3.71996 -0.546655 -0.837367 0.540409
3.72622 -0.551889 -0.833951 0.550525
3.73249 -0.557101 -0.830471 0.56064
3.73875 -0.56229 -0.826945 0.564919
3.74501 -0.567458 -0.823396 0.568546
3.75127 -0.572604 -0.819824 0.572181
3.75754 -0.577726 -0.816229 0.575868
3.7638 -0.582827 -0.812611 0.579554
3.77006 -0.587904 -0.808968 0.585296
3.77632 -0.592959 -0.805271 0.595234
3.78259 -0.59799 -0.801512 0.605173
3.78885 -0.602998 -0.797701 0.609186
3.79511 -0.607982 -0.793889 0.608216
3.80137 -0.612942 -0.790083 0.607246
3.80764 -0.617878 -0.786267 0.613146
3.8139 -0.62279 -0.782402 0.621244
3.82016 -0.627677 -0.778486 0.629342
3.82642 -0.63254 -0.774532 0.633427
3.83269 -0.637378 -0.770552 0.637397
3.83895 -0.642191 -0.766548 0.641435
3.84521 -0.646979 -0.762518 0.645772
3.85147 -0.651742 -0.75846 0.650108
3.85774 -0.656479 -0.754374 0.655512
3.864 -0.66119 -0.750246 0.662509
3.87026 -0.665876 -0.746076 0.669505
3.87652 -0.670535 -0.741866 0.674084
3.88279 -0.675168 -0.737634 0.677153
3.88905 -0.679774 -0.733384 0.680222
3.89531 -0.684353 -0.729117 0.682372
3.90157 -0.688906 -0.724837 0.684335
3.90784 -0.693432 -0.720546 0.68667
3.9141 -0.697931 -0.716213 0.696985
3.92036 -0.702403 -0.711816 0.707301
3.92663 -0.706847 -0.707356 0.714749
3.93289 -0.711262 -0.702882 0.713994
3.93915 -0.71565 -0.698413 0.713239
3.94541 -0.72001 -0.693944 0.71609
3.95168 -0.724342 -0.689438 0.72295
3.95794 -0.728645 -0.684889 0.72981
3.9642 -0.73292 -0.680304 0.733071
3.97046 -0.737166 -0.675708 0.7347
3.97673 -0.741383 -0.671102 0.736329
3.98299 -0.745572 -0.66647 0.74358
3.98925 -0.749731 -0.661789 0.751439
3.99551 -0.753861 -0.657058 0.75865
